ID,PDB code,pKd pKi pIC50,Canonical SMILES
1095,2gj5,8.32,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC[C@H]2CC[C@@H]1C[C@@H](O)CCC1=C)C)C
1096,2gkl,5.35,OC(=O)c1ccnc(c1)C(=O)O
1097,2gl0,4.82,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N
1098,2glp,5.01,O=C(c1cccnc1)N/N=C/c1cc(Br)c(c(c1O)Br)O
1099,2gss,4.94,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O
1100,2gst,6.07,O=C(N[C@H](C(=O)NCC(=O)O)CS[C@@H]1[C@@H](O)c2ccccc2c2c1cccc2)CC[C@@H](C(=O)O)[NH3+]
1101,2gsu,3.59,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2N)COP(O)(O)O
1102,2gv6,7.34,O=C([C@@H](NS(=O)(=O)c1ccc2c(c1)cccc2)Cc1cccc(c1)C(=[NH2+])N)N1CC[C@H](CC1)CC[NH+]=C(N)N
1103,2gv7,7.85,O=C([C@@H](NS(=O)(=O)c1c(cc(cc1C(C)C)C(C)C)C(C)C)Cc1cccc(c1)C(=[NH2+])N)N1CCN(CC1)C(=O)C1CC[N+](=C(N)N)CC1
1104,2gvj,9.52,O=C(/C=C/c1cccnc1)NCCCCC1CCN(CC1)C(=O)c1ccccc1
1105,2gvv,3.9,NP(=O)(OC1CCCC1)OC1CCCC1
1106,2gyi,7,OC[C@H]([C@H](C(=O)NO)O)O
1107,2gz2,5.22,O[C@@H]1[C@@H](COP(O)(O)O)O[C@H]([C@@H]1OP(O)(O)O)n1cnc2c1ncnc2N
1108,2gzl,4.82,O[C@@H]1[C@@H](COP(OP(OCCNS(=O)(=O)c2cccc3c2cccc3N(C)C)(O)O)(O)O)O[C@H]([C@@H]1O)n1ccc(nc1=O)N
1109,2h15,5.67,NS(=O)(=O)NC[C@]12OC[C@@H]3[C@H]([C@@H]2OC(O1)(C)C)OC(O3)(C)C
1110,2h21,6.54,C[S@](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+]
1111,2h3e,5.7,O=C(CP(O)(O)O)N[C@H](C(=O)N)CC(=O)O
1112,2h4g,6.52,OC(=O)COc1c(sc(c1Br)c1ccc(cc1)O)C(=O)O
1113,2h4k,5.49,OC(=O)COc1c(sc(c1Br)c1ccccc1)C(=O)O
1114,2h4n,8.7,CC(=O)Nc1nnc(s1)S(=O)(=O)N
1115,2h6b,5.39,OC(=O)Cc1ccc(c(c1)Cl)O
1116,2h6t,7.22,CC(C[C@@H]([C@H](CC(=O)N[C@H](C(=O)N[C@H]([C@H](CC(=O)O)O)CC(C)C)C)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)CC(C)C)C
1117,2ha2,4.66,O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C
1118,2ha3,3.03,OCC[N+](C)(C)C
1119,2ha6,4.32,O=C(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C
1120,2hah,8,OC[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)Cc1ccccc1
1121,2haw,4.92,OP(NP(O)(O)O)(O)O
1122,2hb1,3.8,OC(=O)COc1c(Br)csc1C(=O)O
1123,2hb3,11.35,OCc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1C[C@@H]2[C@H](C1)CCO2)O)CC(C)C
1124,2hhn,7.49,C[C@H](NC(=O)[C@H](CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1)CNc1ccc(cc1)OC(F)(F)F
1125,2hjb,4.39,[NH3+]Cc1ccc(cc1)OC
1126,2hkf,6.38,[NH3+]CC(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)O)CC(C)C)CC(=O)O)CCC(=O)O)CCC(=O)O
1127,2hl4,7.64,OC[C@H]1O[C@@H](Nc2ccc(cc2)S(=O)(=O)N)[C@@H]([C@H]([C@@H]1O)O)O
1128,2hmu,7.7,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1129,2hmv,7.7,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1130,2hnc,7.22,Nc1[nH+]nc(s1)S(=O)(=O)N
1131,2hnx,7.08,CCCCCCCCCCCCCCCC(=O)O
1132,2hoc,9.52,Fc1cc(cc(c1N)Cl)S(=O)(=O)Nc1nnc(s1)S(=O)(=O)N
1133,2hs1,8.48,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
1134,2hu6,3.81,ONC(=O)N1C[C@@H]2O[C@H](C1)O[C@H]2C(=O)NCc1ccc(cc1)c1ccccc1
1135,2hxm,5.22,O=c1cc(/C=N/OCCO/N=C/c2ccc(cc2)C(=O)O)[nH]c(=O)[nH]1
1136,2hzl,6.57,OC(=O)C(=O)C
1137,2hzy,7.39,OC(=O)CCP(CC(=O)CC(=O)O)(O)O
1138,2i0a,11.4,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@@H](NC(=O)[C@@H]1CN(C(=O)O1)c1ccc(cc1)C(=O)C)Cc1ccccc1)O)CC(C)C
1139,2i19,7.8,OP(C(P(O)(O)O)CNc1ccccn1)(O)O
1140,2i2c,4.7,O[C@@H]1[C@@H](CSSC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2cnc3c2ncnc3N)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1141,2i3h,7.4,C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)C(C)C)[NH3+]
1142,2i3i,7.3,C[NH2+][C@H](C(=O)N[C@@H]1CCC[C@@H]2N(C1=O)[C@H](C(=O)Nc1cc(nn1c1ccccc1)C)C(S2)(C)C)C
1143,2i4d,11.68,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccc(cc1)OCP(O)(O)O)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC(C)C
1144,2i4j,6.16,CCCCCCCN(c1nc2c(o1)cccc2)CCc1ccc(cc1)O[C@@](C(=O)O)(CC)C
1145,2i4u,11.57,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC(C)C
1146,2i4v,11.2,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)CC(C)C
1147,2i4w,11.59,CCOP(=O)(COc1ccc(cc1)C[C@@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)OCC
1148,2i4x,11.72,CCOP(=O)(COc1ccc(cc1)C[C@@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)OCC
1149,2i4z,5.7,CCCCCCCN(c1nc2c(o1)cccc2)CCc1ccc(cc1)O[C@](C(=O)O)(CC)C
1150,2i6b,7.17,CN(c1ccc(cc1)c1c(N)ncnc1C#Cc1ccc(nc1)N1CCOCC1)C
1151,2i80,5.4,ClCC(C(=O)Nc1ccc(cc1)C(F)(F)F)(C)C
1152,2idw,8.89,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
1153,2ihj,4.59,OC[C@H]([C@H]([C@@H]1O[C@](OP(OC[C@H]2O[C@H]([C@@H]([C@@H]2O)O)n2ccc(nc2=O)N)(O)O)(C(=O)O)[C@@H]([C@@H]([C@H]1NC(=O)C)O)F)O)O
1154,2ihq,8.49,N#Cc1ccc(c2c1cccc2)N1C(=O)[C@H]2N(C1=O)CC[C@H]2O
1155,2iko,5.45,CCc1nc(N)nc(c1c1ccc(cc1)NCc1cc(F)cc(c1)F)N
1156,2isw,7.43,ONC(=O)COP(O)(O)O
1157,2iuz,5.55,O=c1n(CCn2c(=O)c3n(C)cnc3n(c2=O)C)c(=O)c2c(n1C)ncn2C
1158,2iwx,6.68,O=C1CCCCC/C=C/CCOC(=O)c2c(C1)c(Cl)c(cc2O)O
1159,2izl,6,NC1=[NH+][C@@H]2[C@H](N1)[C@H](CCCCC(=O)O)SC2
1160,2j27,3.52,OC(=O)COP(O)(O)O
1161,2j2u,7.33,Clc1ccc2c(c1)cc([nH]2)S(=O)(=O)N[C@H]1CCN(C1=O)[C@H](C(=O)N1CCOCC1)C
1162,2j34,7.82,Clc1ccc2c(c1)sc(c2)S(=O)(=O)N[C@H]1CCN(C1=O)[C@H](C(=O)N1CCOCC1)C
1163,2j47,5.41,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)C(=O)Nc1ccccc1)NC(=O)C
1164,2j4g,6.6,CCCC1=N[C@H]2[C@@H](S1)O[C@@H]([C@H]([C@@H]2O)O)CO
1165,2j4i,9,Clc1ccc2c(c1)ccc(c2)S(=O)(=O)N[C@H]1CCN(C1=O)[C@H](C(=O)N(C(C)C)CCNS(=O)(=O)C)C
1166,2j62,11.34,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)CCc1ccccc1)NC(=O)C(C)C
1167,2j75,6.65,OC[C@H]1C[NH2+][C@@H]([C@H]([C@@H]1O)O)O
1168,2j77,4.89,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
1169,2j78,6.42,OC[C@H]1N/C(=N\O)/[C@@H]([C@H]([C@@H]1O)O)O
1170,2j79,5.96,OC[C@H]1N/C(=N\O)/[C@@H]([C@H]([C@H]1O)O)O
1171,2j7b,6.62,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1nnn2)O
1172,2j7d,7.13,CO[C@@H](c1cn2c(n1)[C@H](O)[C@H]([C@@H]([C@H]2CO)O)O)O
1173,2j7e,7.32,COC(=O)Cc1cn2c(n1)[C@H](O)[C@H]([C@@H]([C@H]2CO)O)O
1174,2j7f,6.35,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)C(=O)O)O
1175,2j7g,7,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](c2n1cc(n2)CC(=O)O)O
1176,2j7h,7.19,OC[C@H]1[NH2+][NH2+]C[C@H]([C@@H]1O)O
1177,2j94,6.27,O=C1[C@H](CCN1[C@H](C(=O)N1CCOCC1)C)NS(=O)(=O)c1nnc([nH]1)c1ccc(s1)Cl
1178,2j95,8.4,O=C1[C@H](CCN1[C@H](C(=O)N1CCOCC1)C)NS(=O)(=O)c1ccc(s1)c1ccc(s1)Cl
1179,2jdm,5.4,CO[C@@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O
1180,2jdp,6.6,CO[C@@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O
1181,2jds,8.2,Cc1n[nH]c2c1cc(cc2)c1cncc(c1)OC[C@H](Cc1c[nH]c2c1cccc2)[NH3+]
1182,2jdu,6.72,CO[C@@H]1O[C@@H](C)[C@H]([C@H]([C@@H]1O)O)O
1183,2jew,6.69,CCCn1cnc(c1)C[C@@H](C(=O)O)CCC[NH3+]
1184,2jf4,8.15,OC[C@H]1C[C@H]([NH2+][C@H]2C=C(CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O
1185,2jfz,5.24,CC(Cn1c2nn(c(c2c(=O)n(c1=O)C)c1ccncc1)Cc1cccc2c1cccc2)C
1186,2jg0,7.82,OC[C@H]1O[C@H](NC2=N[C@@H]3[C@H](S2)[C@@H](O)[C@@H]([C@]3(O)CO)O)[C@@H]([C@H]([C@@H]1O)O)O
1187,2jgs,6.62,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2
1188,2jh0,8.7,O=C1[C@H](CCN1[C@H](C(=O)N1CCOCC1)C)NS(=O)(=O)/C=C(/c1ccc(s1)Cl)\C
1189,2jh5,6.44,C[C@H](N1CC[C@@H](C1=O)NS(=O)(=O)/C=C/c1ccc(s1)Cl)C(=O)N1CCOCC1
1190,2jh6,7.77,C[C@H](N1CC[C@@H](C1=O)NS(=O)(=O)CCc1ccc(s1)Cl)C(=O)N1CCOCC1
1191,2jiw,4.59,OCC1=C[C@@H]([NH3+])[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
1192,2jjb,7.92,OC[C@H]1O[C@H](O[C@H]2C[N@@H+]3[C@H]([C@@H]2O)[C@H]([C@@H]([C@H]3CO)O)O)[C@@H]([C@H]([C@@H]1O)O)O
1193,2jke,4.23,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
1194,2jkh,8.05,O=C1N(CCC[N+](C)(C)C)C(=O)[C@@H]2[C@H]1[C@H](c1noc(c1)c1ccc(s1)Cl)[N@@H+]1[C@H]2CCC1
1195,2jkp,4.23,O[C@@H]1[C@@H](O)C[N@@H+]2[C@@H]([C@H]1O)[C@@H](O)CC2
1196,2jxr,7.05,CCCC[C@@H](C(=O)N[C@H](C(C(C(=O)NC)(F)F)(O)O)CC1CCCCC1)NC(=O)[C@@H](NC(=O)N1CCOCC1)Cc1ccccc1
1197,2mas,7.52,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1ccc(cc1)N
1198,2nmx,5.57,CC(=O)NCCc1ccc(cc1)S(=O)(=O)N
1199,2nmz,8.37,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2
1200,2nn1,5.82,OC(=O)CCc1ccc(cc1)S(=O)(=O)N
1201,2nn7,6.52,CCOC(=O)CCc1ccc(cc1)S(=O)(=O)N
1202,2nnd,6.06,COc1nccnc1CC(C)C
1203,2nsj,4.79,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc(c1N)C(=O)O)COP(O)(O)O
1204,2nsl,4.68,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc(c1N)C(=O)O)COP(O)(O)O
1205,2nt7,6.52,OC(=O)COc1c(Br)c(sc1c1n[nH]nn1)c1cccc(c1)NC1CCN(CC1)S(=O)(=O)Cc1ccccc1
1206,2nta,4.8,O=C1CN(S(=O)(=O)N1)c1csc(c1Cl)c1ccccc1
1207,2o0u,5.49,N#Cc1c(sc2c1CCN(C2)C(=O)CC[NH+]1CCCCC1)NC(=O)c1cccc2c1cccc2
1208,2o4j,10.1,C=C1[C@H](O)C/C(=C/C=C/2\CCC[C@]3([C@H]2CC/C/3=C(/CCCC(O)(C)C)\C)C)/C[C@H]1O
1209,2o4k,10.46,COC(=O)N[C@@H](C(C)(C)C)C(=O)N[N@@H+](Cc1ccc(cc1)c1ccccn1)C[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O
1210,2o4l,9.22,CCC[C@@]1(CCc2ccccc2)CC(=C(C(=O)O1)[C@@H](c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC)O
1211,2o4n,7.82,CCC[C@@]1(CCc2ccccc2)CC(=C(C(=O)O1)[C@@H](c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC)O
1212,2o4r,9.4,C=C1[C@H](O)C/C(=C/C=C/2\CCC[C@]3([C@H]2CC/C/3=C(\CCCC(O)(C)C)/C)C)/C[C@H]1O
1213,2o4z,6.25,ONS(=O)(=O)N
1214,2o8h,7.6,COc1cc2ncnc(c2cc1OC)N1CCc2c(C1)c(ccc2)S(=O)(=O)N1CC[NH+](CC1)C
1215,2oag,8.47,[NH3+][C@H]1CN(C[C@@H]1c1cc(F)c(cc1F)F)c1ncnc(c1)c1cccc(c1)S(=O)(=O)C
1216,2oax,8.65,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]2[C@@H]1[C@@H]1CC[C@]3([C@]1(CC2)C)CCC(=O)O3)C
1217,2oc2,8.52,O=C(N[C@H](P([C@@H]1CCC[C@H]1C(=O)N[C@H](C(=O)O)Cc1c[nH]c2c1cccc2)(O)O)Cc1ccccc1)OCc1ccccc1
1218,2ogy,4.48,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NC[C@H]1CNc2c(N1C)c(=O)[nH]c(n2)N
1219,2oi0,7.55,CC#CCOc1ccc(cc1)S(=O)(=O)N1CC[C@@H](C1)S
1220,2oi2,6.3,OC(=O)C[C@@](CCOP(OP(O)(O)O)(O)O)(O)C
1221,2oiq,5,C[N@@H+]1CC[N@H+](CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C
1222,2ojg,5.64,CN(C(=O)c1[nH]cc(c1)c1[nH]ncc1c1ccccc1)C
1223,2ojj,8.7,OC[C@H](c1ccc(c(c1)Cl)F)NC(=O)c1[nH]cc(c1)c1[nH]ncc1c1cccc(c1)Cl
1224,2olb,5.54,[NH3+]CCCC[C@@H](C(=O)N[C@H](C(=O)O)CCCC[NH3+])NC(=O)[C@H](CCCC[NH3+])[NH3+]
1225,2ole,7.25,[NH3+][C@H](Cc1cc(F)c(cc1F)F)CC(=O)N1CCCCCN1C(=O)c1ccccc1
1226,2on6,6.76,OC[C@H]1[NH2+][C@H]([C@@H]([C@@H]1O)O)c1c[nH]c2c1nc[nH]c2=O
1227,2ot1,4,Clc1ccc(cc1)NC(=O)c1cc2ccccc2cc1OP(O)(O)O
1228,2ovv,7.92,COc1cc2c(cc1OC)ncnc2N1CC[C@H](C1)Oc1ccc2c(c1)cccc2
1229,2ovy,8.4,COc1cc2c(cc1OC)ncnc2N1CC[C@H](C1)Oc1cnc2c(n1)cccc2
1230,2oxd,6.82,Brc1c(Br)c(Br)c(c2c1[nH]c(=O)[nH]2)Br
1231,2oxn,7.44,OC[C@H]1O/C(=N\OC(=O)Nc2ccccc2)/[C@@H]([C@H]([C@@H]1O)O)NC(=O)C
1232,2oxx,6.7,Brc1c(Br)c(Br)c(c2c1[nH]c(=S)[nH]2)Br
1233,2oxy,6.52,Brc1c(Br)c(Br)c2c(c1Br)[nH]cn2
1234,2oym,5,OC[C@H]1[NH2+][C@@H]([C@H]([C@@H]1O)O)CNC(=O)c1ccc(cc1)N(C)C
1235,2p09,6.35,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N
1236,2p15,10.3,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@]2(O)/C=C/c1ccccc1C(F)(F)F)C
1237,2p16,10.1,COc1ccc(cc1)n1nc(c2c1C(=O)N(CC2)c1ccc(cc1)N1CCCCC1=O)C(=O)N
1238,2p2a,6.12,OC(=O)[C@H](Cc1c(=O)[nH]oc1c1nnn(n1)Cc1ccccc1)[NH3+]
1239,2p3a,7.96,O[C@@H]([C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)O)[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C
1240,2p3b,8.48,O[C@@H]([C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)O)[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C
1241,2p3c,7.62,O[C@@H]([C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C)O)[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C
1242,2p3i,3.48,OC[C@H]([C@H]([C@@H]1O[C@](OC)(C[C@@H]([C@H]1NC(=O)C)O)C(=O)O)O)O
1243,2p4j,8.96,CC(C[C@@H]([C@H](C[C@H](C(=O)N[C@H](C(=O)NC(C)C)C(C)C)C)O)NC(=O)c1cc(cc(c1)N(S(=O)(=O)C)C)C(=O)N[C@@H](c1ccccc1)C)C
1244,2p4s,9.51,OC[C@H]1C[N@H+](C[C@@H]1O)Cc1c[nH]c2c1nc[nH]c2=O
1245,2p4y,9,COc1ccc2c(c1)onc2c1c(C)n(c2c1ccc(c2)OC(F)(F)F)Cc1cc(ccc1Cl)O[C@@H](C(=O)O)C
1246,2p53,7.46,O[C@H]1O[C@H](COP(O)(O)O)[C@H]([C@@H]([C@H]1NP(O)(O)C)O)O
1247,2p7a,6.1,Oc1ccc(c(c1)C)Cl
1248,2p7g,6.53,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C
1249,2p7z,6.58,CC/C(=C(\c1ccc(cc1)O)/c1ccc(cc1)OCC[NH+](C)C)/c1ccccc1
1250,2p95,9.37,Clc1ccc(s1)C(=O)N[C@@H]1CCC[C@@H]1NC(=O)c1ccc(cc1)n1ccccc1=O
1251,2pbw,8.25,OC(=O)C[C@H]1[C@H](C[NH2+][C@@H]1C(=O)O)/C(=C\C=C\[C@H](C(=O)O)C)/C
1252,2pcp,8.7,C1CCC(CC1)(c1ccccc1)[NH+]1CCCCC1
1253,2pgz,5.74,COC(=O)[C@H]1[C@H](C[C@H]2[N@@H+]([C@@H]1CC2)C)OC(=O)c1ccccc1
1254,2pk5,10.7,O=C(N[C@H](C(=O)N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)CS(=O)(=O)C)COc1cccc2c1ccnc2
1255,2pk6,10.89,CSC[C@@H](C(=O)N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)NC(=O)COc1cccc2c1ccnc2
1256,2pog,9.54,Oc1ccc(cc1)[C@@H]1Oc2cccc(c2[C@H]2[C@@H]1CCC2)O
1257,2pou,7.42,Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N
1258,2pov,7.12,Nc1cc(Cl)c(cc1S(=O)(=O)N)S(=O)(=O)N
1259,2pow,7.2,Nc1cc(c(cc1S(=O)(=O)N)S(=O)(=O)N)C(F)(F)F
1260,2pq9,8.11,O[C@@H]1[C@@H](C=C(C[C@H]1O[C@@](C(=O)O)(C(F)F)OP(O)(O)O)C(=O)O)OP(O)(O)O
1261,2pqb,7.2,O[C@@H]1[C@@H](C=C(C[C@H]1O[C@@](C(=O)O)(C(F)F)OP(O)(O)O)C(=O)O)OP(O)(O)O
1262,2pqc,5.74,O[C@@H]1[C@@H](C=C(C[C@H]1O[C@](P(O)(O)O)(C(=O)O)C)C(=O)O)OP(O)(O)O
1263,2pql,7.28,[NH3+]CCc1c[nH]c2c1cccc2
1264,2pqz,5.67,O=S(=O)(N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccccc1)Cc1ccccc1)Cc1ccccc1)c1ccccc1
1265,2psu,7.62,CNC(=O)CCC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1cccc(c1)OC)CC1CC1)O)Cc1ccccc1
1266,2psv,7.24,CNC(=O)CCC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccco1)CC1CC1)O)Cc1ccccc1
1267,2ptz,7.82,ONC(=O)CP(O)(O)O
1268,2pu1,5.85,ONC(=O)[C@H](P(O)(O)O)F
1269,2pu2,4.43,Oc1ccc(cc1)C[C@@H](N1C(=O)c2c(C1=O)cc(cc2)C(=O)O)C(=O)O
1270,2pv1,7.14,CC[C@@H]([C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)[NH3+])CCC(=O)O)Cc1ccc(cc1)O)C
1271,2pvh,6.59,c1ccc(cc1)Nc1nc(Nc2ccccc2)n2c(n1)ccn2
1272,2pvj,8.1,N#Cc1cnn2c1nc(NCC1CCCCC1)nc2Nc1ccccc1
1273,2pvk,8.3,N#Cc1cnn2c1nc(NCc1ccc(cc1)Cl)nc2Nc1ccccc1
1274,2pvl,7.62,CC[NH+]1CCN(CC1)c1nc(Nc2ccccc2)n2c(n1)c(C#N)cn2
1275,2pvm,6.44,N#Cc1cnn2c1nc(Nc1ccccc1)nc2NCCc1cnc[nH]1
1276,2pvu,6.31,[NH3+]CCCC[C@@H](C(=O)O)[NH3+]
1277,2pwc,6.57,Nc1ccc(cc1)S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccc(cc1)N)Cc1ccccc1)Cc1ccccc1
1278,2pwd,4.4,OC[C@H]1[NH2+]C[C@@H]([C@H]([C@@H]1O)O)O
1279,2pwg,4.82,O[C@@H]1[C@@H](O)C[N@H+]2[C@@H]([C@H]1O)[C@@H](O)CC2
1280,2pwr,6.59,NC(=O)c1ccc(cc1)S(=O)(=O)N([C@H]1C[NH2+]C[C@@H]1N(S(=O)(=O)c1ccc(cc1)C(=O)N)Cc1ccccc1)Cc1ccccc1
1281,2py4,6.7,O[C@H]1C[C@@H](O[C@@H]1COP(NP(OP(O)(O)O)(O)O)(O)O)n1ccc(=O)[nH]c1=O
1282,2pym,6.82,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
1283,2pyn,7.57,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
1284,2pyy,4.6,OC(=O)CC[C@@H](C(=O)O)[NH3+]
1285,2q1q,8.15,O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N
1286,2q2a,7.41,OC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+]
1287,2q38,5.23,O=C1NS(=O)(=O)c2c1cccc2
1288,2q54,9.01,CC(=O)N[C@H](C(=O)N[C@H](C[C@@H]([C@@H](NC(=O)[C@@H]1CN(C(=O)O1)c1cccc(c1)C(=O)C)Cc1ccccc1)O)Cc1ccccc1)C(C)C
1289,2q55,8.69,O[C@H]([C@H](Cc1ccccc1)NC(=O)[C@H]1OC(=O)N(C1)c1ccccc1)C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C
1290,2q5k,11.3,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
1291,2q63,7.18,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
